Brenton Reference	Rahlfs Reference	Status	Line Number
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 28:28	Prov.28.28	not_found	21878
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:1	Prov.29.1	not_found	21881
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:2	Prov.29.2	not_found	21882
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:3	Prov.29.3	not_found	21883
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:4	Prov.29.4	not_found	21884
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:5	Prov.29.5	not_found	21885
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:6	Prov.29.6	not_found	21886
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:7	Prov.29.7	not_found	21887
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:8	Prov.29.8	not_found	21889
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:9	Prov.29.9	not_found	21890
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:10	Prov.29.10	not_found	21891
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:11	Prov.29.11	not_found	21892
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:12	Prov.29.12	not_found	21893
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:13	Prov.29.13	not_found	21894
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:14	Prov.29.14	not_found	21895
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:15	Prov.29.15	not_found	21896
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:16	Prov.29.16	not_found	21897
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:17	Prov.29.17	not_found	21899
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:18	Prov.29.18	not_found	21900
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:19	Prov.29.19	not_found	21901
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:20	Prov.29.20	not_found	21902
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:21	Prov.29.21	not_found	21903
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:22	Prov.29.22	not_found	21904
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:23	Prov.29.23	not_found	21905
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:24	Prov.29.24	not_found	21907
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:25	Prov.29.25	not_found	21908
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:26	Prov.29.26	not_found	21909
ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:27	Prov.29.27	not_found	21910
ΙΕΡΕΜΙΑΣ 7:27	Jer.7.27	not_found	24401
ΙΕΡΕΜΙΑΣ 7:28	Jer.7.28	not_found	24402
ΙΕΡΕΜΙΑΣ 10:9a	Jer.10.9a	not_found	24482
ΙΕΡΕΜΙΑΣ 23:40a	Jer.23.40a	not_found	24901
ΙΕΡΕΜΙΑΣ 23:40b	Jer.23.40b	not_found	24902
ΘΡΗΝΟΙ ΙΕΡΕΜΙΟΥ 3:21a	Lam.3.21a	not_found	26016
ΘΡΗΝΟΙ ΙΕΡΕΜΙΟΥ 3:21b	Lam.3.21b	not_found	26017
ΘΡΗΝΟΙ ΙΕΡΕΜΙΟΥ 3:21c	Lam.3.21c	not_found	26018
ΔΑΝΙΗΛ 3:72a	DanTh.3.72a	not_found	28086
ΔΑΝΙΗΛ 3:72b	DanTh.3.72b	not_found	28087
ΕΣΔΡΑΣ Α 1:56	1Esdr.1.56	not_found	30069
ΕΣΔΡΑΣ Α 1:57	1Esdr.1.57	not_found	30070
ΕΣΔΡΑΣ Α 1:58	1Esdr.1.58	not_found	30071
ΕΣΔΡΑΣ Α 2:27	1Esdr.2.27	not_found	30106
ΕΣΔΡΑΣ Α 2:28	1Esdr.2.28	not_found	30107
ΕΣΔΡΑΣ Α 2:29	1Esdr.2.29	not_found	30108
ΕΣΔΡΑΣ Α 2:30	1Esdr.2.30	not_found	30110
ΕΣΔΡΑΣ Α 5:72	1Esdr.5.72	not_found	30332
ΕΣΔΡΑΣ Α 5:73	1Esdr.5.73	not_found	30333
ΕΣΔΡΑΣ Α 6:34	1Esdr.6.34	not_found	30378
ΕΣΔΡΑΣ Α 8:93	1Esdr.8.93	not_found	30516
ΕΣΔΡΑΣ Α 8:94	1Esdr.8.94	not_found	30517
ΕΣΔΡΑΣ Α 8:95	1Esdr.8.95	not_found	30518
ΕΣΔΡΑΣ Α 8:96	1Esdr.8.96	not_found	30519
ΤΩΒΙΤ 4:7a	TobS.4.7a	not_found	30681
ΤΩΒΙΤ 4:7b	TobS.4.7b	not_found	30682
ΤΩΒΙΤ 4:7c	TobS.4.7c	not_found	30683
ΤΩΒΙΤ 4:7d	TobS.4.7d	not_found	30684
ΤΩΒΙΤ 4:7e	TobS.4.7e	not_found	30686
ΤΩΒΙΤ 4:7f	TobS.4.7f	not_found	30688
ΤΩΒΙΤ 4:7g	TobS.4.7g	not_found	30689
ΤΩΒΙΤ 4:7h	TobS.4.7h	not_found	30690
ΤΩΒΙΤ 4:7i	TobS.4.7i	not_found	30692
ΤΩΒΙΤ 4:7k	TobS.4.7k	not_found	30693
ΤΩΒΙΤ 4:7l	TobS.4.7l	not_found	30694
ΤΩΒΙΤ 7:18	TobS.7.18	not_found	30777
ΤΩΒΙΤ 9:3	TobS.9.3	not_found	30809
ΤΩΒΙΤ 9:4	TobS.9.4	not_found	30810
ΤΩΒΙΤ 13:7a	TobS.13.7a	not_found	30897
ΤΩΒΙΤ 13:7b	TobS.13.7b	not_found	30899
ΤΩΒΙΤ 13:7c	TobS.13.7c	not_found	30900
ΤΩΒΙΤ 14:8	TobS.14.8	not_found	30923
ΤΩΒΙΤ 14:9	TobS.14.9	not_found	30924
